run,map,Rprec,ndcg,P_10,ndcg_cut_10,map_nist,Rprec_nist,ndcg_nist
ims_wcs_ap_uf,0.0162,0.0103,0.2987,0.022,0.0222,0.0193,0.0063,0.2853
webis_reranked,0.075,0.1449,0.2212,0.244,0.2595,0.0734,0.1488,0.1832
webis_reranked2,0.075,0.1449,0.2212,0.244,0.2595,0.0734,0.1488,0.1832
mpiik10e111akDT,0.0817,0.1555,0.2769,0.184,0.1867,0.1353,0.2185,0.3165
mpiik15e74akDT,0.0831,0.1526,0.2787,0.196,0.1945,0.1449,0.2209,0.3225
sab17coreO1,0.0838,0.1303,0.37,0.228,0.2171,0.1583,0.1987,0.4532
webis_baseline2,0.0854,0.1687,0.2321,0.262,0.2821,0.1011,0.1686,0.2086
webis_baseline,0.0854,0.1687,0.2321,0.262,0.2821,0.1011,0.1686,0.2086
RMITUQVBestM2,0.0889,0.1315,0.4322,0.216,0.2029,0.1603,0.198,0.4834
mpiik10e105akDT,0.09,0.1657,0.2873,0.206,0.2063,0.152,0.2297,0.331
IlpsUvANvsm,0.0904,0.1326,0.3917,0.22,0.2389,0.0989,0.1355,0.368
sab17coreE1,0.0961,0.1467,0.3783,0.258,0.2585,0.1733,0.2075,0.4623
UWatMDS_ustudy,0.0962,0.1361,0.4547,0.204,0.2187,0.1912,0.2247,0.5339
RMITFDMQEA1,0.1019,0.1434,0.4514,0.2,0.2028,0.1594,0.1966,0.4604
umass_maxpas50,0.1059,0.1652,0.4529,0.212,0.2141,0.1585,0.1983,0.4578
udelIndriB,0.108,0.1581,0.4686,0.168,0.1585,0.1819,0.2316,0.5017
udelIndri,0.108,0.1581,0.4686,0.168,0.1585,0.1819,0.2316,0.5017
MRGrandrel,0.1089,0.1442,0.4795,0.254,0.2561,0.1887,0.207,0.5416
IlpsUvAQlmNvsm,0.1106,0.1555,0.4548,0.198,0.2105,0.1408,0.1804,0.4462
UDelInfoEXPint,0.1118,0.1572,0.4713,0.194,0.1899,0.1891,0.2189,0.5031
UDelInfoLOGext,0.1132,0.1584,0.4675,0.176,0.1772,0.1926,0.2313,0.5089
ICT17ZCJL05,0.1151,0.1615,0.4574,0.254,0.2649,0.1357,0.166,0.4267
sabchoiceaqv45,0.1151,0.1775,0.4437,0.274,0.267,0.2195,0.2682,0.5614
ICT17ZCJL03,0.1153,0.1653,0.4619,0.276,0.2745,0.1481,0.1786,0.4429
umass_direlmnvs,0.1168,0.1609,0.4869,0.2,0.2063,0.1707,0.2104,0.4962
UWatMDS_BUnion,0.1186,0.1869,0.4937,0.252,0.2449,0.2331,0.2698,0.5826
umass_emb1,0.1192,0.1667,0.4833,0.186,0.1824,0.1925,0.2356,0.5017
UDelInfoLOGint,0.1194,0.1594,0.4831,0.216,0.2129,0.2064,0.2393,0.5243
sabopt50av45,0.1209,0.1846,0.4625,0.288,0.285,0.234,0.2821,0.5818
UWatMDS_AWgtd,0.123,0.1768,0.5035,0.248,0.2529,0.2459,0.2716,0.5999
ICT17ZCJL06,0.1232,0.175,0.4677,0.296,0.2947,0.1502,0.1945,0.4429
umass_letor_lmn,0.1233,0.1703,0.4926,0.198,0.2081,0.1857,0.2287,0.5119
IlpsUvABoir,0.1254,0.1714,0.4886,0.212,0.2007,0.2102,0.2379,0.5153
UWatMDS_AUnion,0.1272,0.1872,0.5046,0.27,0.2722,0.2528,0.2836,0.603
MRGrankall,0.1273,0.1723,0.4986,0.292,0.2957,0.23,0.2542,0.5751
