run,map,Rprec,ndcg,P_10,ndcg_cut_10,map_nist,Rprec_nist,ndcg_nist
ICT17ZCJL01,0.167,0.2287,0.4747,0.364,0.2747,0.181,0.216,0.4674
ICT17ZCJL06,0.1355,0.1929,0.4403,0.334,0.2353,0.1502,0.1945,0.4429
WCrobust04W,0.1857,0.2578,0.5118,0.43,0.2858,0.2687,0.3161,0.6018
ims_wcs_p10,0.1482,0.2035,0.4798,0.272,0.2177,0.2099,0.2515,0.5259
ICT17ZCJL07,0.1534,0.2155,0.4629,0.35,0.2515,0.1728,0.2198,0.4656
RMITUQVBestM2,0.0939,0.1362,0.4087,0.232,0.165,0.1603,0.198,0.4834
umass_letor_lm,0.143,0.1994,0.4746,0.242,0.1729,0.2053,0.2497,0.524
tgncorpBASE,0.1683,0.2183,0.5009,0.44,0.32,0.226,0.2594,0.5548
tgncorpBOOST,0.1401,0.1895,0.4743,0.372,0.2703,0.2174,0.2601,0.559
UWatMDS_ustudy,0.0984,0.1398,0.4237,0.224,0.1773,0.1912,0.2247,0.5339
udelIndriB,0.1149,0.1659,0.4393,0.18,0.1248,0.1819,0.2316,0.5017
umass_letor_lmn,0.1305,0.1859,0.4615,0.216,0.1673,0.1857,0.2287,0.5119
sabopt50v45,0.1319,0.1893,0.4466,0.308,0.2133,0.2373,0.271,0.5714
UDelInfoLOGint,0.1237,0.166,0.4517,0.232,0.1683,0.2064,0.2393,0.5243
umass_letor_m,0.1486,0.2034,0.4835,0.246,0.1831,0.211,0.2421,0.5243
sabopt50av45,0.118,0.1794,0.4264,0.294,0.2135,0.234,0.2821,0.5818
UWatMDS_AFuse,0.1451,0.204,0.4946,0.264,0.2061,0.2804,0.3098,0.6241
umass_maxpas150,0.1487,0.2041,0.4656,0.316,0.2314,0.1907,0.2351,0.4915
umass_direlm,0.1443,0.1983,0.4787,0.222,0.1742,0.1985,0.2499,0.5141
webis_baseline2,0.094,0.1809,0.2318,0.306,0.2434,0.1011,0.1686,0.2086
webis_reranked,0.0829,0.1634,0.2164,0.288,0.215,0.0734,0.1488,0.1832
umass_diremart,0.1431,0.1983,0.472,0.24,0.1621,0.1911,0.2261,0.5052
UWatMDS_BFuse,0.1379,0.194,0.4884,0.264,0.2012,0.2732,0.3093,0.6163
MRGrankrel,0.1317,0.1754,0.4589,0.312,0.2183,0.2343,0.2602,0.5784
sabmerge50aqv45,0.1645,0.2278,0.5007,0.272,0.2143,0.3062,0.3464,0.6388
ims_wcmbsum_ap,0.1506,0.205,0.4821,0.27,0.2167,0.2106,0.2498,0.5273
udelIndri,0.1149,0.1659,0.4393,0.18,0.1248,0.1819,0.2316,0.5017
sabchmergeav45,0.1616,0.2283,0.5001,0.278,0.2113,0.2957,0.3376,0.634
umass_direlmnvs,0.1235,0.1734,0.4546,0.214,0.1579,0.1707,0.2104,0.4962
IlpsUvABoir,0.1328,0.1828,0.4576,0.236,0.166,0.2102,0.2379,0.5153
mpiik15e74akDT,0.0837,0.156,0.2613,0.202,0.1483,0.1449,0.2209,0.3225
MRGrandrel,0.1123,0.1499,0.4409,0.276,0.184,0.1887,0.207,0.5416
ims_cmbsum,0.1405,0.2026,0.4699,0.262,0.2081,0.1979,0.2383,0.5138
sab17coreA,0.1451,0.2048,0.4759,0.312,0.2221,0.2273,0.2778,0.5593
ims_wcs_err,0.1455,0.1989,0.4768,0.272,0.216,0.2082,0.2517,0.5246
IlpsUvANvsm,0.0944,0.1376,0.361,0.236,0.1802,0.0989,0.1355,0.368
WCrobust04,0.1926,0.2628,0.5176,0.438,0.2943,0.2751,0.3146,0.6088
UWatMDS_HT10,0.1565,0.2356,0.4809,0.224,0.1872,0.2627,0.3214,0.6087
ims_dfrinl2_td,0.1494,0.2104,0.4703,0.284,0.2207,0.2097,0.2537,0.5207
UWatMDS_TARSv2,0.1723,0.2364,0.4981,0.352,0.2588,0.3031,0.3495,0.6308
UWatMDS_BUnion,0.1217,0.1877,0.4527,0.268,0.1829,0.2331,0.2698,0.5826
umass_baselnsdm,0.1459,0.1934,0.4633,0.272,0.2027,0.1954,0.2291,0.4911
ims_wcs_ndcg,0.1481,0.2077,0.4791,0.266,0.215,0.2071,0.2469,0.523
RMITFDMQEA1,0.1078,0.1609,0.4252,0.212,0.1618,0.1594,0.1966,0.4604
sab17coreE1,0.0938,0.1439,0.3469,0.264,0.1889,0.1733,0.2075,0.4623
ims_wcs_recall,0.1464,0.2085,0.4769,0.264,0.2119,0.2053,0.2429,0.5209
ims_wcs_twist,0.1483,0.2047,0.4789,0.27,0.2136,0.2086,0.2493,0.5248
umass_maxpas50,0.1158,0.178,0.431,0.244,0.1801,0.1585,0.1983,0.4578
sabchoicev45,0.1389,0.1999,0.4551,0.296,0.2031,0.2538,0.2933,0.5915
ICT17ZCJL05,0.1253,0.1691,0.4289,0.29,0.2125,0.1357,0.166,0.4267
